,price,propertyType,size,exterior,rooms,bathrooms,distance,status,floor,hasLift
271,750.0,flat,60.0,True,2,1,2591,good,Desconocido,False
272,750.0,flat,42.0,False,1,1,2762,good,4,True
273,750.0,studio,90.0,True,0,1,7228,good,4,True
274,650.0,studio,45.0,False,0,1,3807,good,bj,True
275,650.0,flat,59.0,True,1,1,20637,good,2,True
276,670.0,flat,75.0,True,2,1,27056,good,3,True
277,650.0,flat,45.0,True,1,1,12383,newdevelopment,2,True
278,750.0,flat,32.0,True,1,1,5339,good,2,True
279,725.0,flat,50.0,True,1,1,5564,Desconocido,Desconocido,Desconocido
280,620.0,studio,20.0,False,0,1,1893,good,1,True
281,680.0,flat,35.0,True,1,1,3308,good,bj,False
282,750.0,flat,87.0,True,3,1,12519,good,bj,True
283,670.0,flat,53.0,True,1,1,12383,newdevelopment,1,True
284,600.0,flat,75.0,True,3,1,28756,Desconocido,Desconocido,Desconocido
285,750.0,flat,70.0,True,2,1,12614,good,4,False
286,700.0,flat,36.0,True,2,1,9525,good,3,False
287,695.0,flat,58.0,False,1,1,5659,good,1,True
288,710.0,flat,66.0,True,1,1,25013,good,2,True
289,620.0,flat,80.0,True,2,1,49280,good,2,False
290,700.0,flat,80.0,True,3,1,40907,good,1,False
291,715.0,flat,89.0,True,3,1,39316,good,bj,False
292,750.0,flat,50.0,True,1,1,11203,good,1,True
293,750.0,flat,45.0,True,1,1,8426,good,2,True
294,550.0,studio,25.0,False,0,1,4650,good,bj,False
295,730.0,flat,60.0,True,1,1,27803,good,Desconocido,False
296,750.0,penthouse,46.0,True,2,1,3889,good,4,True
297,700.0,flat,45.0,True,1,1,13887,good,bj,False
298,680.0,flat,85.0,True,2,1,13303,renew,bj,True
299,600.0,flat,28.0,False,1,1,4418,good,4,False
300,750.0,flat,80.0,True,2,1,30995,good,1,False
301,700.0,flat,62.0,True,1,1,13040,good,2,True
302,690.0,flat,77.0,True,2,1,7283,good,bj,True
303,700.0,flat,50.0,True,1,1,7844,good,bj,False
